Song_ID,Song_Name,Artist,Genre,Duration,Release_Year,Popularity,User_ID,User_Rating,Timestamp
Song_1,Current letter,Daniel Bedingfield,Metal,295978,2003,35,User_88,5,2021-02-26 17:52:28.737387
Song_2,Think shake,Stevie Appleton,Metal,343777,1999,32,User_9,2,2022-12-14 05:16:02.126205
Song_3,May tree include reveal,Black,Metal,110355,2010,29,User_71,5,2020-11-01 08:02:00.656213
Song_4,Fire suffer hope world,Drake,Electronic/Dance,305498,2024,93,User_94,2,2023-03-12 14:59:13.263859
Song_5,Call with Mrs,Graham Bonney,Latin,211359,2008,99,User_32,2,2021-06-11 03:46:02.166301
Song_6,So decide research relationship,Lee Baxter ,Hip-Hop/Rap,289317,2017,93,User_59,2,2020-04-06 10:05:55.902342
Song_7,Community difficult,Tom Bailey ,Soul,270895,2015,49,User_39,4,2021-08-01 13:15:07.689494
Song_8,Final detail school others,Lady Gaga,Indie,133047,2011,15,User_57,2,2023-09-14 04:50:13.954694
Song_9,Risk most rule executive,Drake,Folk,281482,1991,64,User_30,4,2021-05-08 13:24:57.587098
Song_10,South yard,Graham Bonnet,Rock,141214,2001,34,User_31,2,2024-01-01 09:16:47.944852
Song_11,Realize kind argue,Lee Baxter ,Pop,252897,2002,91,User_28,4,2023-09-14 10:27:15.614091
Song_12,Tough director series,Graham Bonney,Folk,271608,1990,13,User_76,5,2020-07-03 03:47:38.905965
Song_13,Hotel place,Miki Antony,Blues,260121,2019,85,User_76,2,2021-11-21 17:42:59.341474
Song_14,True see moment,Ed Sheeran,Latin,137262,2009,93,User_28,4,2024-06-21 05:38:09.203498
Song_15,Play break,Mike Berry ,Metal,72979,2004,91,User_86,5,2020-03-09 08:02:54.335845
Song_16,Better surface condition,Daniel Boone (singer),Pop,178405,2004,40,User_36,2,2020-11-11 10:49:35.740882
Song_17,Early billion,Olly Alexander,Classical,278881,2006,26,User_55,1,2024-11-03 05:46:59.466521
Song_18,Home,Heather Baron-Gracie,Indie,63151,2007,59,User_2,5,2023-12-03 17:10:01.945576
Song_19,Recently quite,Max Bacon,Electronic/Dance,244836,2010,98,User_49,1,2020-05-23 09:16:52.455027
Song_20,Kind send fish or,Nick Berry,Reggae,146566,2023,49,User_97,4,2020-10-30 21:16:40.749454
Song_21,Picture rich,Heather Baron-Gracie,Hip-Hop/Rap,68309,1998,85,User_49,4,2022-10-21 15:29:01.262519
Song_22,Brother order present,Adele,Classical,286445,1990,23,User_30,3,2020-01-23 04:32:11.134218
Song_23,Option sing,Tom Bailey ,Pop,319040,1997,70,User_39,3,2024-08-16 15:55:47.129296
Song_24,Until order,Lady Gaga,Rock,312568,2023,45,User_46,3,2020-03-07 20:01:06.593960
